BIC Subject Code is exactly,AND any BIC Subj present with stem ,AND other BIC Subj present is exactly,AND any BIC Qual present with stem ,"AND
BIC Qual present  is exactly","AND
BIC Qual present is exactly ","AND
BIC Qual NOT present","AND
BIC Qual NOT present",>>,Only if input code not yet mapped ,Thema Subj 1,Thema Subj 2,Thema Subj 3,Thema Qual 1,Thema Qual 2,Thema Qual 3,Note,
DSBD,,,,3JB ,,3JD  ,3JF,,,DSBC,,,,,,,
DSBD,,,,3JB,3JD,,,,,DSBC,DSBD,,,,,,
DSBD,,,,3JD ,,3JB ,,,,DSBD,,,,,,,
DSBD,,,,3JF,,,,,,DSBD,,,,,,,
DSBD,,,,,,,,,else,DSB,,,,,,,
DSBF,,,,,,,,,,DSBF,,,,,,,
DSBH,,,,3JM,,,,,,DSBJ,,,,,,,
DSBH,,,,,,,,,else,DSBH,,,,,,,
DSBH5,,,,,,,,,,DSBH5,,,,,,,
DSC,,,,,,,,,,DSC,,,,,,,
DSG,,,,,,,,,,DSG,,,,,,,
DSGS,,,,,,,,,,DSG,DSBD,,2ACB,5PX-GB-S,,,
DSK,,,,,,,,,,DSK,,,,,,,
DSR,,,,,,,,,,DSR,,,,,,,
DSRC,,,,,,,,,,DSRC,,,,,,,
DSY,,,,,,,,,,DSY,,,,,,,
DSYC,,,,,,,,,,DSYC,,,,,,,
E,,,,,,,,,,CJ,,,2ACB,4LE,,,
EB,,,,,,,,,,CJA,,,2ACB,4LE,,,
EBA,,,,,,,,,,CJA,,,2ACB,4LE,,,
EBAL,,,,,,,,,,CJA,,,2ACB,4LE,,,
EBAR,,,,,,,,,,CJA,,,2ACB,4LE,,,
EBD,,,,,,,,,,CJB,CBD,,2ACB,4LE,,,
EL,,,,,,,,,,CJB,,,2ACB,4LE,,,
ELG,,,,,,,,,,CJBG,,,2ACB,4LE,,,
ELGG,,,,,,,,,,CJBG,,,2ACB,4LE,,,
ELGP,,,,,,,,,,CJBG,,,2ACB,4LE,,,
ELGV  ,,,,,,,,,,CJBG,,,2ACB,4LE,,,
ELH,,,,,,,,,,CJBR,,,2ACB,4LE,,,
ELHB,,,,,,,,,,CJBR,,,2ACB,4LE,,,
ELHF,,,,,,,,,,CJBR,,,2ACB,4LE,,,
ELM,,,,,,,,,,CJB,,,2ACB,4LE,,,
ELP,,,,,,,,,,CJB,,,2ACB,4LE,,,
ELS,,,,,,,,,,CJBT,,,2ACB,4LE,,,
ELV,,,,,,,,,,CJB,,,2ACB,4LE,,,
ELX,,,,,,,,,,CJC,,,2ACB,4LE,,,
ELXD,,,,,,,,,,CJCK,,,2ACB,4LE,,,
ELXG,,,,,,,,,,CJCL,,,2ACB,4LE,,,
ELXJ,,,,,,,,,,CJCR,,,2ACB,4LE,,,
ELXN,,,,,,,,,,CJCW,,,2ACB,4LE,,,
ES,,,,,,,,,,CJP,,,2ACB,4LEP,,,
ESB,,,,,,,,,,CJPD,,,2ACB,4LEP,,,
ESF,,,,,,,,,,CJP,,,2ACB,4LEP,,,
EST,,,,,,,,,,CJPG,,,2ACB,4LEP,,,
ESV,,,,,,,,,,CJP,,,2ACB,4LEP,,,
F,,,,,,,,,,F,,,,,,,
FA,,,,,,,,,,FBA,,,,,,,
FC,,,,,,,,,,FBC,,,,,,,
FF,,,,,,,,,,FF,,,,,,,
FFC,,,,,,,,,,FFC,,,,,,,
FFH,,,,,,,,,,FFH,,,,,,,
FH,,,,,,,,,,FH,,,,,,,
FHD,,,,,,,,,,FHD,,,,,,,
FHP,,,,,,,,,,FHP,,,,,,,
FJ,,,,,,,,,,FJ,,,,,,,
FJH,,,,,,,,,,FJH,,,,,,,
FJM,,,,,,,,,,FJM,,,,,,,
FJMC,,,,,,,,,,FJMC,,,,,,,
FJMF,,,,,,,,,,FJMF,,,,,,,
FJMS,,,,,,,,,,FJMS,,,,,,,
FJMV,,,,,,,,,,FJMV,,,,,,,
FJW,,,,,,,,,,FJW,,,,,,,
FK,,,,,,,,,,FK,,,,,,,
FKC,,,,,,,,,,FKC,,,,,,,
FL,,,,,,,,,,FL,,,,,,,
FLC,,,,,,,,,,FLC,,,,,,,
FLS,,,,,,,,,,FLS,,,,,,,
FM,,,,,,,,,,FM,,,,,,,
FMR,,,,,,,,,,FMR,,,,,,,
FP,,,,,,,,,,FP,,,,,,,
FQ,,,,,,,,,,FN,,,,,,,
FR,,FH,,,,,,,,FRM,,,,,,,
FR,,FHD,,,,,,,,FRM,,,,,,,
FR,,FHP,,,,,,,,FRM,,,,,,,
FR,,FP,,,,,,,,FRX,,,,,,,
FR,,,,,,,,,else,FR,,,,,,,
FRD,,FH,,,,,,,,FRD,FRM,,,,,,
FRD,,FHD,,,,,,,,FRD,FRM,FHD,,,,,
FRD,,FHP,,,,,,,,FRD,FRM,FHP,,,,,
FRD,,FP,,,,,,,,FRX,FRD,,,,,,
FRD,,,,,,,,,else,FRD,,,,,,,
FRH,,FH,,,,,,,,FRH,FRM,,,,,,
FRH,,FHD,,,,,,,,FRH,FRM,FHD,,,,,
FRH,,FHP,,,,,,,,FRH,FRM,FHP,,,,,
FRH,,FP,,,,,,,,FRX,FRH,,,,,,
FRH,,,,,,,,,else,FRH,,,,,,,
FT,,,,,,,,,,FT,,,,,,,
FV,,,,,,,,,,FV,,,,,,,
FW,HRC,,,,,,,,,FW,,,5PGM,,,,
FW,HRE,,,,,,,,,FW,,,5PGF,,,,
FW,HRG,,,,,,,,,FW,,,5PGD,,,,
FW,HRH,,,,,,,,,FW,,,5PGP,,,,
FW,HRJ,,,,,,,,,FW,,,5PGJ,,,,
FW,,,,,,,,,else,FW,,,,,,,
FX,,FA,,,,,,,,XQB,FBA,,,,,,
FX,,FC,,,,,,,,XQB,FBC,,,,,,
FX,,FF,,,,,,,,XQD,,,,,,,
FX,,FFC,,,,,,,,XQD,FFC,,,,,,
FX,,FFH,,,,,,,,XQD,FFH,,,,,,
FX,,FH,,,,,,,,XQD,,,,,,,
FX,,FHD,,,,,,,,XQD,FHD,,,,,,
FX,,FHP,,,,,,,,XQD,FHP,,,,,,
FX,,FJ,,,,,,,,XQG,,,,,,,
FX,,FJH,,,,,,,,XQG,FJH,,,,,,
FX,,FJM,,,,,,,,XQG,FJM,,,,,,
FX,,FJMC,,,,,,,,XQG,FJMC,,,,,,
FX,,FJMF,,,,,,,,XQG,FJMF,,,,,,
FX,,FJMS,,,,,,,,XQG,FJMS,,,,,,
FX,,FJMV,,,,,,,,XQG,FJMV,,,,,,
FX,,FJW,,,,,,,,XQGW,,,,,,,
FX,,FK,,,,,,,,XQH,,,,,,,
FX,,FKC,,,,,,,,XQH,FKC,,,,,,
FX,,FL,,,,,,,,XQL,,,,,,,
FX,,FLC,,,,,,,,XQL,FLC,,,,,,
FX,,FLS,,,,,,,,XQL,FLS,,,,,,
FX,,FM,,,,,,,,XQM,,,,,,,
FX,,FMR,,,,,,,,XQM,FMR,,,,,,
FX,,FP,,,,,,,,XQX,FP,,,,,,
FX,,FQ,,,,,,,,XQM,FN,,,,,,
FX,,FR,,,,,,,,XQR,,,,,,,
FX,,FRD,,,,,,,,XQR,FRD,,,,,,
FX,,FRH,,,,,,,,XQR,FRH,,,,,,
FX,,FT,,,,,,,,XA,FT,,,,,,
FX,,FV,,,,,,,,XQV,FV,,,,,,
FX,,FW,,,,,,,,XA,FW,,,,,,
FX,,,,5X,,,,,,XQX,,,,,,,
FX,,,,,,,,,else,XA,,,,,,,
FXA,,FP,,,,,,,,XAMX,FP,,,,,,
FXA,,YFW,,,,,,,,XAMC,,,,,,,
FXA,,,,5X,,,,,,XAMX,,,,,,,
FXA,,,,5AG,,,,,,XAMC,,,,,,,
FXA,,,,5AH,,,,,,XAMC,,,,,,,
FXA,,,,5AJ,,,,,,XAMC,,,,,,,
FXA,,,,5AK,,,,,,XAMC,,,,,,,
FXA,,,,5AL,,,,,,XAMC,,,,,,,
FXA,,,,,,,,,else,XAM,,,,,,,
FXL,,,,5X,,,,,,XQA,XQX,,,,,,
FXL,,,,,,,,,else,XQA,,,,,,,
FXS,,YFW,,,,,,,,XAKC,XQK,,,,,,
FXS,,,,5X,,,,,,XAK,XQK,XQX,,,,,
FXS,,,,,,,,,else,XAK,XQK,,,,,,
FXZ,,YFW,,,,,,,,XADC,XQA,,,,,,
FXZ,,,,5X,,,,,,XQA,XQX,,,,,,
FXZ,,,,,,,,,else,XQA,,,,,,,
FY,,,,,,,,,,FY,,,,,,,
FYB,,,,,,,,,,FYB,,,,,,,
FYT,,,,,,,,,,FYT,,,,,,,
FZ,,,,,,,,,,FZ,,,,,,,
FZC,,,,,,,,,,FZ,,,,,,,
FZG,,,,,,,,,,XR,,,,,,,
G,,,,,,,,,,G,,,,,,,
GB,,,,,,,,,,GB,,,,,,,
GBA,,,,,,,,,,GBA,,,,,,,
GBC,,,,,,,,,,GBC,,,,,,,
GBCB,,,,,,,,,,GBCB,,,,,,,
GBCQ,,,,,,,,,,GBCQ,,,,,,,
GBCR,,,,,,,,,,GBCR,,,,,,,
GBCS,,,,,,,,,,GBCS,,,,,,,
GBCT,,,,,,,,,,GBCT,,,,,,,
GBCY,,,,,,,,,,GBCY,,,,,,,
GBG,,,,,,,,,,RGX ,,,,,,,
GBGM,,,,,,,,,,RGXB,,,,,,,
GBGP,,,,,,,,,,RGXP,,,,,,,
GL,,,,,,,,,,GL,,,,,,,
GLC,,,,,,,,,,GLC,,,,,,,
GLF,,,,,,,,,,GLF,,,,,,,
GLH,,,,,,,,,,GLH,,,,,,,
GLK,,,,,,,,,,GLK,,,,,,,
GLM,,,,,,,,,,GLM,,,,,,,
GLMA,,,,,,,,,,GLM,,,,,,,
GLMB,,,,,,,,,,GLM,,,,,,,
GLMC,,,,,,,,,,GLM,,,,,,,
GLMG,,,,,,,,,,GLM,,,,,,,
GLML,,,,,,,,,,GLM,,,,,,,
GLMX,,,,,,,,,,GLM,,,,,,,
GLP,,,,,,,,,,GLP,,,,,,,
GM,,,,,,,,,,GLZ,,,,,,,
GP,,,,,,,,,,GP,,,,,,,
